channel,url,inc,avg,diff,time
jonzherka,https://clips.twitch.tv/AuspiciousBovineMoonShadyLulu-mqYJUkU_-AofWBeC/edit,33,11.76,2.81,2022-03-04 06:54:14.937048
jonzherka,https://clips.twitch.tv/TawdryCredulousBaguetteRitzMitz-0aGAMVyM62c5sGg5/edit,63,31.14,2.02,2022-03-04 06:54:36.034212
jonzherka,https://clips.twitch.tv/LongBlindingWerewolfPastaThat-EoVZOCItH5ueRhIn/edit,20,12.22,1.64,2022-03-04 06:58:29.046837
jonzherka,https://clips.twitch.tv/AmericanIgnorantTitanHassaanChop-4cw4KH5uFNWTeXjb/edit,25,17.76,1.41,2022-03-04 06:58:59.138625
jonzherka,https://clips.twitch.tv/OptimisticInspiringOcelotTBCheesePull-yF1wZ98ECqiYcr2Y/edit,20,12.98,1.54,2022-03-04 07:01:23.708299
jonzherka,https://clips.twitch.tv/MoistCorrectJayGivePLZ-3KGEumobIwObR_44/edit,45,21.43,2.1,2022-03-04 07:01:44.697131
jonzherka,https://clips.twitch.tv/TubularRudeGoatEleGiggle-aSgrDwAlvnhqcs6P/edit,15,9.61,1.56,2022-03-04 07:03:00.751441
jonzherka,https://clips.twitch.tv/CleverUglyGoatThunBeast-ahgpzgbQ6B6weBMX/edit,13,7.94,1.64,2022-03-04 07:04:04.671858
jonzherka,https://clips.twitch.tv/CallousPlausibleHamsterThisIsSparta-hF1_91-MrRwMhAkH/edit,22,15.53,1.42,2022-03-04 07:04:25.442479
jonzherka,https://clips.twitch.tv/ScrumptiousLittleHareCclamChamp-TmvI-KOIScHEp1u6/edit,10,7.06,1.42,2022-03-04 07:06:05.301900
jonzherka,https://clips.twitch.tv/CoweringComfortableSandpiperBIRB-RiMo4rax0scVPYNR/edit,29,13.31,2.18,2022-03-04 07:06:26.195450
jonzherka,https://clips.twitch.tv/VainCrackyMushroomVoteYea-ZfiBAdPznIe0t_hK/edit,12,8.08,1.48,2022-03-04 07:07:56.145445
jonzherka,https://clips.twitch.tv/BashfulCrowdedRaisinKlappa-1mfPHjroQNRRY1wf/edit,12,8.08,1.48,2022-03-04 07:08:17.971344
jonzherka,https://clips.twitch.tv/EvilRelentlessKuduPoooound-7ZzkWI_bve37yA3j/edit,15,9.82,1.53,2022-03-04 07:08:54.759942
jonzherka,https://clips.twitch.tv/GlamorousInnocentNewtStoneLightning-GD_Ux_3BnNSOlHjY/edit,22,11.76,1.87,2022-03-04 07:09:15.574639
jonzherka,https://clips.twitch.tv/SparklyTentativeOtterPrimeMe-ahrJZ4O7irprKVCb/edit,31,20.9,1.48,2022-03-04 07:09:48.525072
jonzherka,https://clips.twitch.tv/GracefulObservantWolfPartyTime-GPb15rDNv6txQ3ga/edit,39,27.41,1.42,2022-03-04 07:12:10.478979
jonzherka,https://clips.twitch.tv/AdventurousCalmArtichokeKappaPride-vC5YTB6wfh6v8JFr/edit,26,18.35,1.42,2022-03-04 07:14:05.378794
jonzherka,https://clips.twitch.tv/LivelyYummyNigiriFutureMan-qyH8DwqW2iT74lzB/edit,28,19.82,1.41,2022-03-04 07:14:33.301222
jonzherka,https://clips.twitch.tv/BitterSullenDoveFloof-ojEknKqZ0Q4dGGMH/edit,18,12.71,1.42,2022-03-04 07:15:36.476294
jonzherka,https://clips.twitch.tv/SpikyManlyClipzAllenHuhu-Ji4SolbbXoxdGADb/edit,24,15.92,1.51,2022-03-04 07:16:20.610139
jonzherka,https://clips.twitch.tv/AbrasiveOutstandingHumanArgieB8-sRwFnwYFk6I7-E4T/edit,11,6.04,1.82,2022-03-04 07:19:04.606334
jonzherka,https://clips.twitch.tv/AmazingPiercingPandaKAPOW-vhUQ4OCFgKwfoYkF/edit,11,7.67,1.43,2022-03-04 07:19:36.403408
jonzherka,https://clips.twitch.tv/HeadstrongAltruisticEmuRedCoat-G8_VIuon9lHFZUxY/edit,17,11.71,1.45,2022-03-04 07:20:07.553182
jonzherka,https://clips.twitch.tv/DepressedHotClipzCopyThis-3Pr8Apvh4F3AfMgH/edit,16,11.41,1.4,2022-03-04 07:21:10.397961
jonzherka,https://clips.twitch.tv/BashfulSplendidPeanutEleGiggle-jUwzxPSQcNOQd9J3/edit,29,19.39,1.5,2022-03-04 07:21:31.256585
jonzherka,https://clips.twitch.tv/SingleShortTruffleDoubleRainbow-FRTdHYpd4q_5PpNC/edit,16,11.27,1.42,2022-03-04 07:23:32.461278
jonzherka,https://clips.twitch.tv/AmericanLightSashimiBloodTrail-BocOaXX5AQydRQ50/edit,38,19.88,1.91,2022-03-04 07:23:53.552873
jonzherka,https://clips.twitch.tv/BreakableSourFlamingoMcaT-oEHncMSgPZ06pM4q/edit,24,16.14,1.49,2022-03-04 07:24:57.613686
jonzherka,https://clips.twitch.tv/RespectfulCoweringWoodpeckerHeyGuys-ZB5g1cA_ly8OoMyZ/edit,21,12.9,1.63,2022-03-04 07:27:20.613070
jonzherka,https://clips.twitch.tv/SpikyVictoriousCurryYouWHY-GDMa0cGU5zEp_o1B/edit,17,11.67,1.46,2022-03-04 07:29:28.715290
jonzherka,https://clips.twitch.tv/ViscousCrowdedIguanaCoolStoryBob-2rG6s4gcJ17wpVz-/edit,21,14.59,1.44,2022-03-04 07:30:15.000853
jonzherka,https://clips.twitch.tv/SpikyTsundereSnoodVoteNay-z9frLg22Cwt5r1zR/edit,11,7.2,1.53,2022-03-04 07:33:14.958641
jonzherka,https://clips.twitch.tv/ClumsyAnimatedOkapiDatBoi-yLSR1FiF6D47LEP_/edit,19,8.63,2.2,2022-03-04 07:33:35.912825
jonzherka,https://clips.twitch.tv/RelatedPlayfulBatItsBoshyTime-BMTEFNxrbUBgYLGE/edit,32,21.06,1.52,2022-03-04 07:33:56.804415
jonzherka,https://clips.twitch.tv/LightAffluentMouseTTours-6e45-75JsJ2ndfub/edit,21,14.92,1.41,2022-03-04 07:36:38.941477
jonzherka,https://clips.twitch.tv/CoyFunnyCheeseCurseLit-wCU8S8e4kdA6d6Qk/edit,22,15.06,1.46,2022-03-04 07:37:06.059722
jonzherka,https://clips.twitch.tv/BillowingCooperativeOstrichOptimizePrime-8wL8v6KegxSlfzp9/edit,26,16.86,1.54,2022-03-04 07:37:50.150641
jonzherka,https://clips.twitch.tv/JoyousAbrasiveAxeCoolStoryBro-Tq_lxH7YQr4RGvk2/edit,15,10.37,1.45,2022-03-04 07:39:07.030750
jonzherka,https://clips.twitch.tv/CoyNicePigBabyRage-3Xr88BuEUJVfq1-B/edit,15,10.0,1.5,2022-03-04 07:39:44.962905
jonzherka,https://clips.twitch.tv/AmazonianMoldyFrogDeIlluminati-YMf8NACHgZI0AlIS/edit,24,13.92,1.72,2022-03-04 07:40:05.766834
jonzherka,https://clips.twitch.tv/LovelyRoughLatteCclamChamp-xIp_Gq5EoLEXC-0T/edit,16,10.57,1.51,2022-03-04 07:41:56.137844
jonzherka,https://clips.twitch.tv/HumbleShyDotterelBCWarrior-ZNX4IGDY24tFaYK8/edit,16,10.92,1.47,2022-03-04 07:42:57.286681
jonzherka,https://clips.twitch.tv/ComfortableDistinctSalmonBuddhaBar-bH5TnksN5_TRQO-p/edit,20,13.45,1.49,2022-03-04 07:44:43.274586
jonzherka,https://clips.twitch.tv/ShinySarcasticCheddarAMPEnergy-aj7rTF7GxvZqGZpd/edit,24,16.0,1.5,2022-03-04 07:46:25.229541
jonzherka,https://clips.twitch.tv/UnsightlyConsiderateGiraffeBrainSlug-SYBgfjrpCe_imDC3/edit,34,22.43,1.52,2022-03-04 07:46:54.107679
